,Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#
461,Theft,Blackstone between 54th & 55th,10/6/10 9:49 AM,10/5/10 to 10/6/10 9:00 PM to 8:45 AM,Unknown person took an unsecured bicycle from the rear yard of a residence,Open,W1193
462,Injured Person,1101 E. 58th St. (Rosenwald Hall),10/6/10 11:50 AM,10/6/10 11:50 AM,Woman tripped and fell striking her head on the sidewalk / Declined medical attention,Closed,W1195
463,Theft,1005 E. 60th St. (Burton-Judson),10/6/10 12:05 PM,6/10/10 to 9/10/10 6:00 PM to 11:00 AM,Unknown person took a secured bicycle from the bike rack in the basement of the residence hall,Open,W1194
464,Armed Robbery,Dorchester between 61st & 62nd,10/6/10 4:31 PM,10/6/10 4:29 PM,A male youth displayed a knife and took a bicycle from another youth on the street / Suspect arrested by UCPD,Arrest,W1197
465,Theft,1117 E. 58th St. (Quad),10/6/10 5:27 PM,10/6/10 5:20 PM,Unknown male snatched an Apple laptop computer from a man sitting on a bench and ran off,Open,W1196
466,Theft,1020 E. 58th St. (Kent Hall),10/6/10 7:36 PM,10/5/10 1:30 PM to 5:30 PM,Unknown person took a bicycle that had been secured to a bike rack,Open,W1198
467,Assault,5721 S. Maryland (Comer Hospital),10/6/10 8:30 PM,10/6/10 8:25 PM,Unknown male threatened staff member placing him in fear of physical harm / Suspect left before police arrived,Open,W1199
468,VOID,VOID,VOID,VOID,VOID-Number issued in error,VOID,W1200
469,Lost Property,1362 E. 59th St. (Lab School),10/7/10 3:12 PM,10/1/10 8:30 AM to 2:30 PM,Lab School student lost a violin while in the school,Closed,W1201
470,Robbery,Greenwood at 63rd,10/7/10 4:14 PM,10/7/10 4:14 PM,Three males used force to take $100 from a man walking on the street / Two suspects arrested by UCPD,Arrest,W1202
471,Burglary,Hyde Park between University and Woodlawn,10/7/10 5:41 PM,10/1/10 to 10/7/10 2:00 PM to 5:40 PM,"Unknown person(s) entered residence by breaking glass in front door / Took TV, computers, and other property",Open,W1203
472,Disturbance,University at 61st,10/8/10 1:23 AM,10/8/10 1:23 AM,Complaint of people being loud and disorderly on the street / Group dispersed upon arrival of police,Closed,W1204
473,Criminal Damage to Property,1100 E. 57th St. (Regenstein Library),10/8/10 9:20 AM,10/7/10 6:00 PM,Graffiti spray painted on exterior concrete wall / Facilities notified / Arrest by UCPD / Refer to W1211 below,Arrest,W1205
474,Suspicious Person,Drexel between 53rd & 54th,10/8/10 10:53 AM,10/8/10 10:50 AM,"Man reported he heard a person at his back door / When complainant went to the door, the man ran off",Closed,W1206
475,Deceptive Practice,Lake Shore Dr. between 50th & 51st,10/8/10 11:24 AM,10/2/10 2:00 PM to 7:00 PM,Man reported he received a fraudulent check in return for a security deposit / Complainant declined to sign a complaint when other arrangements were made for return of funds,Closed,W1207
476,Lost Property,Hyde Park between Blackstone & Harper,10/8/10 2:38 PM,10/6/10 3:10 PM,Woman reported loss of her wallet between 51st & Blackstone and 53rd & Harper,Closed,W1208
477,Theft,Blackstone between 55th & 56th,10/8/10 3:33 PM,10/7/10 4:00 PM,Complainant discovered someone used his credit card information to purchase items,Open,W1209
478,Theft,5833 S. Kenwood (Sunny Gym),10/8/10 4:40 PM,10/6/10 3:30 PM to 5:15 PM,Unknown person took $50 cash from wallet secured in a gym locker,Open,W1210
479,Criminal Damage to Property,1100 E. 57th St. (Regenstein Library),10/8/10 5:23 PM,10/8/10 5:23 PM,UCPD officers observed a male spray painting graffiti on exterior concrete wall / Arrest,Arrest,W1211
480,Fire Alarm,920 E. 58th St. (Cummings Life Science),10/9/10 10:57 AM,10/9/10 10:57 AM,Steam from pipe triggered fire alarm / CFD responded,Closed,W1212
481,Theft,1009 E. 57th St. (Hitchcock),10/9/10 12:40 PM,10/8/10 to 10/9/10 9:00 PM to 10:30 AM,Man reported his laptop taken from his room / Later called and reported he left laptop in a friend's room,Unfounded,W1213
482,Theft,1025 E. 58th St. (Bond Chapel Courtyard)),10/10/10 12:33 PM,10/10/10 12:25 PM to 12:30 PM,Unknown person took unattended purse placed on a bench in the Bond Chapel Courtyard,Open,W1214
483,Criminal Damage to Property,56th between Blackstone & Harper,10/10/10 4:58 PM,10/9/10 to 10/10/10 7:00 PM to 4:00 PM,Unknown person smashed driver's side window of a car parked on the street,Open,W1215
484,Irregular Conditions,969 E. 60th St. (SSA),10/11/10 2:12 AM,10/11/10 2:12 AM,UCPD found exterior door would not properly secure / Special attention given to location / Facilities notified,Closed,W1216
485,Theft from Motor Vehicle,Cottage Grove between 57th & 58th,10/11/10 8:20 AM,10/10/10 to 10/11/10 6:55 PM to 7:45 AM,"Unknown person smashed driver's side window of car parked on the street / Took stereo radio, clothing and other items",Open,W1217
486,Theft from Motor Vehicle,University between 60th & 61st,10/11/10 8:55 AM,10/10/10 to 10/11/10 2:00 PM to 8:50 AM,Unknown person smashed passenger's side window of car parked on the street / Took wool gloves,Open,W1218
487,Theft,1100 E. 57th St. (Regenstein),10/11/10 2:32 PM,10/11/10 1:55 PM,Two wallets taken from a book bag left unattended in a study cubicle,Open,W1219
488,Theft,901 E. 58th St. (Mitchell ER),10/11/10 4:47 PM,10/11/10 5:00 AM to 11:00 AM,Wallet taken from unattended backpack left in nursing station in ER,Open,W1220
489,Robbery,5811 S. Ellis (Quad),10/11/10 7:50 PM,10/11/10 7:48 PM,Three males grabbed a woman and took her i-Pod and wallet before fleeing on foot,Open,W1221
490,Void,Void,Void,Void,Number issued in error,Void,W1222
491,Unlawful Possession of a Weapon,Kimbark between 61st & 62nd,10/11/10 8:17 PM,10/11/10 8:15 PM,UCPD officers arrested a man in possession of a handgun on the street,Arrest,W1223
492,Irregular Conditions,969 E. 60th St. (SSA),10/12/10 1:57 AM,10/12/10 1:57 AM,UCPD found door would not properly secure / Facilities notified / Building given special attention,Closed,W1224
493,Irregular Conditions,5706 S. University (Reynolds Club),10/12/10 3:48 AM,10/12/10 3:48 AM,UCPD found door not secured / Check of premises conducted / Facilities notified,Closed,W1225
494,Fire Alarm,920 E. 57th St. (Cummings Life Science),10/12/10 9:13 AM,10/12/10 9:13 AM,Steam from a 10th floor lab caused alarm to activate / No smoke or fire / CFD responded,Closed,W1227
495,Lost Property,901 E. 58th St. (Mitchell ER),10/12/10 9:56 AM,10/11/10 4:30 PM to 5:30 PM,Woman believes she lost her car keys while being treated in the ER,Closed,W1226
496,Lost Property,61st between Drexel & Ingleside,10/12/10 5:36 PM,10/10/10 Unknown,Woman believes she lost her wallet while getting out of her car on the street / Man found identification and credit cards and turned property over to UCPD / Property returned to owner,Closed,W1229
497,Theft from Motor Vehicle,Woodlawn between 60th & 61st,10/12/10 5:37 PM,10/12/10 11:45 AM to 5:00 PM,Unknown person smashed front passenger's side window of car parked on the street and took GPS device,Open,W1228
498,Irregular Conditions,1126 E. 59th St. (Social Science Research),10/13/10 2:21 AM,10/13/10 2:21 AM,UCPD found window propped open on first floor / Facilities notified,Closed,W1230
499,Damage to Property,Ellis between 60th & 61st,10/13/10 10:22 AM,10/13/10 8:00 AM to 9:00 AM,Driver's side view mirror damaged in an unknown manner on University owned vehicle,Closed,W1231
500,Theft,1020 E. 58th St. (Kent),10/13/10 5:37 PM,10/13/10 1:30 PM to 5:00 PM,Mac Pro laptop computer taken from unsecured locker on 3rd floor,Open,W1232
501,Lost Property,924 E. 57th St. (BSLC),10/13/10 7:44 PM,10/13/10 1:00 PM to 6:00 PM,Complainant reports leaving laptop computer unattended in a room / will check with lost & found on 10/14/10,Closed,W1233
502,Burglary,Blackstone between 55th & 56th,10/13/10 9:15 PM,10/13/10 7:30 PM to 8:30 PM,"Unknown person(s) entered residence via an unlocked window / Took two laptop computers, jewelry, passport",Open,W1234
503,Irregular Condition,6018 S. Ingleside (Logan Ctr. Construction Site),10/14/10 4:09 AM,10/14/10 4:09 AM,UCPD officer found construction site gate unsecured / Walkthrough conducted / Contractor notified,Closed,W1235
504,Criminal Damage to Property,1362 E. 59th St. (Blaine Hall),10/14/10 10:34 AM,10/13/10 to 10/14/10 5:00 PM to 7:15 AM,Screen torn from a window in the building,Open,W1236
505,Theft,University between 55th & 56th,10/14/10 1:05 PM,10/13/10 11:00 AM to 3:00 PM,Unknown person pried the secured side door of a van parked on the street and took tools,Open,W1237
506,Battery,University between 64th & 65th,10/14/10 4:03 PM,10/14/10 2:15 PM,A parent struck a CPS elementary school student during an altercation at the school / Parent left before police arrived,Open,W1238
507,Theft,5706 S. University (Reynolds Club),10/14/10 5:32 PM,10/14/10 2:30 PM to 4:00 PM,Unknown person took wallet from book bag placed on the floor next to a chair in café / Unauthorized use of debit cards subsequently reported,Open,W1239
508,Criminal Trespass to Land,62nd between Harper and Stony Island,10/14/10 6:06 PM,10/14/10 6:06 PM,UCPD officers arrested two men who trespassed onto private property after receiving notice not to trespass,Arrest,W1240
509,Theft,5841 S. Maryland (Mitchell Hospital),10/14/10 8:12 PM,10/14/10 7:00 AM to 6:00 PM,Unknown person took wallet from unattended purse that had been placed under a chair in visitor's lounge in hospital / Unauthorized use of credit cards subsequently reported,Open,W1241
510,Void,Void,Void,Void,Number issued in error,Void,W1242
511,Traffic Accident,52nd between Dorchester & Blackstone,10/15/10 9:06 AM,10/15/10 9:06 AM,Motorist pulled from parking space and struck University owned vehicle,Closed,W1243
512,Traffic Accident,Ellis between 55th & 56th,10/15/10 11:49 AM,10/12/10 6:05 PM,University owned vehicle backed over piece of concrete causing damage to rear bumper,Closed,W1244
513,Burglary,Greenwood at 53rd,10/15/10 9:23 PM,10/15/10 7:00 PM to 8:10 PM,Unknown person entered residence via unlocked rear door and took three laptop computers,Open,W1245
514,Irregular Conditions,Ellis between 61st & 62nd,10/16/10 12:53 AM,10/16/10 12:53 AM,Complaints of strong odor of gas / CFD responded / Gas Co. investigating,Closed,W1246
515,Irregular Conditions,6054 S. Drexel (Office Building),10/16/10 9:51 AM,10/16/10 9:50 AM,Entry door would not secure properly / Facilities notified,Closed,W1247
516,Criminal Trespass to Land,1155 E. 57th St. (Quadrangle Club),10/16/10 12:45 PM,10/16/10 12:45 PM,Unauthorized man ignored repeated warnings and was arrested by UCPD for trespassing,Arrest,W1248
517,Theft,5550 S. University (Crown Field House),10/16/10 5:34 PM,10/15/10 to 10/16/10 11:00 PM to 5:20 PM,Man's clothing and combination lock taken from gym locker,Open,W1249
518,Missing Person,Lake Shore Dr. between 50th & 51st,10/17/10 12:40 AM,10/16/10 9:50 PM to 10:30 PM,Family reported man missing / Man later returned home,Closed,W1250
519,Theft,Ridgewood between 54th & 55th,10/17/10 12:38 PM,10/16/10 to 10/17/10 7:00 PM to 11:00 AM,Unknown person took secured bicycle from front of residence,Open,W1251
520,Theft from Motor Vehicle,55th between Everett & Shore Dr.,10/17/10 1:52 PM,10/16/10 to 10/17/10 11:00 PM to 3:00 AM,Unknown person broke into trunk of car parked on the street and took backpack containing computer and other items,Open,W1253
521,Harassment by Telephone,Lake Shore Dr. between 50th & 51st,10/17/10 2:05 PM,8/7/10 2:05 PM,Complainant has received numerous unwanted telephone calls over extended period of time from an unknown person,Open,W1252
522,Theft,5445 S. Ingleside (McLean House),10/17/10 6:22 PM,10/15/10 5:00 PM to 7:00 PM,Secured bicycle taken from bike rack,Open,W1254
523,Irregular Conditions,Ingleside at 60th,10/17/10 9:33 PM,10/17/10 9:33 PM,Light malfunctioning on e-phone,Closed,W1256
524,Theft,1116 E. 59th St. (Stuart Hall),10/17/10 9:35 PM,10/17/10 8:00 PM to 9:30 PM,"Unknown person took bicycle, chain and lock from bike rack",Open,W1255
525,Burglary,54th between Harper & Lake Park,10/17/10 10:10 PM,10/17/10 6:40 PM to 10:00 PM,"Unknown person gained entry to apartment, possibly via unlocked window / Took computer and camera",Open,W1257
526,Theft,University between 64th & 65th,10/18/10 10:06 AM,9/13/10 to 10/7/10 9:30 AM to 10:45 AM,Two MacBook computers taken from a room in an elementary school,Open,W1258
527,Burglary,Greenwood between 53rd & 54th,10/18/10 2:21 PM,10/17/10 10:00 PM,Residents heard a noise in the kitchen / Unknown suspect fled through kitchen door / Entry gained via unlocked rear window / No loss reported,Open,W1259
528,Theft,5721 S. Maryland (Comer Hospital),10/18/10 10:51 PM,10/18/10 9:00 PM to 10:30 PM,Unknown person took unattended cell phone from work station,Open,W1260
529,Deceptive Practice,5758 S. Maryland (DCAM Food Court),10/19/10 11:57 AM,10/18/10 2:30 PM to 3:00 PM,Unknown male purchased items in food court with a counterfeit $100 bill,Open,W1261
530,Theft,1100 E. 57th St. (Regenstein Library),10/19/10 6:45 PM,10/19/10 2:30 PM to 3:00 PM,Unknown person took credit cards from an unattended wallet / Unauthorized purchases subsequently reported,Open,W1262
531,Theft,5807 S. Woodlawn (Booth School),10/19/10 6:58 PM,10/19/10 6:23 PM,Two unattended gym bags containing laptop computers taken from hallway by a male subject,Open,W1263
532,Fire Alarm,1155 E. 57th St. (Quadrangle Club),10/19/10 11:05 PM,10/19/10 11:00 PM,Faulty sprinkler pump caused alarm to malfunction / CFD responded,Closed,W1264
533,Traffic Accident,Blackstone between 50th & 51st,10/20/10 2:10 AM,10/20/10 1:20 AM,University owned vehicle struck a concrete barrier in a driveway causing damage to bumper,Closed,W1265
534,Theft,5815 S. Maryland (Mitchell Hospital),10/20/10 12:46 PM,10/20/10 12:35 PM,Man took woman's purse from under a chair in a café in the hospital / Suspect arrested by hospital Security / Purse recovered,Arrest,W1266
535,Bomb Threat,970 E. 58th St. (Book Store),10/20/10 1:32 PM,10/20/10 1:02 PM,"Unknown person left a rambling, incoherent message on voice mail mentioning a bomb",Open,W1267
536,Theft,5815 S. Maryland (Mitchell Hospital),10/20/10 2:45 PM,10/19/10 9:00 AM to 3:30 PM,Credit and debit card taken from unattended briefcase / Unauthorized use of cards subsequently reported,Open,W1268
537,Theft from Motor Vehicle,Midway Plaisance at Dorchester,10/20/10 4:00 PM,10/20/10 7:45 AM to 3:50 PM,Unknown person smashed driver's side window of car parked on the street and took GPS device,Open,W1269
538,Theft,1020 E. 58th St. (Kent Chemical Lab),10/20/10 4:22 PM,10/20/10 12:00 PM to 2:00 PM,Wallet taken from an unsecured locker,Open,W1270
539,Fire Alarm,1442 E. 59th St. (Breckenridge House),10/20/10 11:39 PM,10/20/10 11:39 PM,Alarm malfunction / CFD responded,Closed,W1271
540,Fire,5820 S. University (Sidewalk Area),10/21/10 2:22 AM,10/21/10 2:20 AM,Fire and smoke seen coming from a steam vent located next to flower beds / Discarded cigarette ignited leaves and paper / No damage / CFD responded and extinguished fire,Closed,W1272
541,Fire Alarm,5640 S. University (Bartlett Commons),10/21/10 10:48 PM,10/21/10 10:48 PM,Alarm triggered by smoke from grill / no fire / CFD responded,Closed,W1273
542,Injured Person,57th & University,10/21/10 2:24 PM,10/21/10 2:23 PM,Bicyclist struck by taxi in intersection / Transported to ER by CFD EMS / Traffic crash report by Chicago Police,Closed,W1274
543,Theft,5807 S. Woodlawn (Booth School),10/21/10 4:54 PM,10/21/10 1:30 PM to 2:00 PM,Wallet taken from unattended purse in unsecured office / Unauthorized use of credit cards subsequently reported,Open,W1275
544,Theft,57th between Kimbark & Kenwood,10/21/10 8:55 PM,10/19/10 2:00 PM to 3:15 PM,Wallet lost or taken from woman's purse while in café / Unauthorized use of credit cards subsequently reported,Open,W2176
545,Criminal Damage to Vehicle,52nd between Cottage Grove & Drexel,10/21/10 9:34 PM,10/20/10 to 10/21/10 5:00 PM to 9:30 PM,Unknown person smashed passenger's side front window of car parked in the rear of residential building,Open,W2177
546,Attempt Deceptive Practice,Dorchester between 58th & 59th,10/22/10 12:01 PM,10/22/10 10:00 AM,Complainant received a phone call from unknown person who attempted to have complainant withdraw funds from his bank / Complainant refused and called police,Open,W1278
547,VOID,VOID,VOID,VOID,Void - Number issued in error,VOID,W1279
548,Theft,Ellis between 60th & 61st,10/22/10 2:34 PM,10/22/10 2:15 PM,Woman permitted a female stranger to use her cell phone / A female accomplice distracted woman while suspect walked off with the phone,Open,W1280
549,Theft,5747 S. Ellis (Jones Lab),10/22/10 4:13 PM,10/22/10 2:30 PM,Unknown person took wallet from unattended backpack left in hallway,Open,W1281
550,Theft,5721 S. Maryland (Comer Hospital),10/22/10 4:21 PM,10/22/10 2:45 PM,Unknown person took unattended Blackberry cell phone from chair in lobby,Open,W1282
551,Theft,5835 S. Kimbark (Lab School),10/22/10 4:36 PM,10/21/10 6:45 AM to 3:35 PM,Laptop computer taken from unattended backpack left in student lounge,Open,W1283
552,Lost Property,5815 S. Maryland (Mitchell Hospital),10/22/10 7:14 PM,10/17/10 to 10/22/10 12:00 PM to 7:15 PM,Patient reports $200 cash missing from his possessions,Closed,W1284
553,Theft,1442 E. 59th St. (Breckenridge House),10/24/10 10:27 PM,10/24/10 5:30 PM to 10:15 PM,Unknown person took secured bicycle from bike rack,Open,W1285
554,Lost Property,5815 S. Maryland (Mitchell Hospital),10/24/10 11:47 PM,10/24/10 10:40 PM to 11:40 PM,Patient reports her wallet and cell phone missing after being relocated within the hospital,Closed,W1286
555,Criminal Trespass to Land,1000 E. 57th St. (Mansueto Library Construction Site),10/24/10 12:19 AM,10/24/10 12:19 AM,UCPD observed male subject walking in construction area / Suspect fled / Site secure,Closed,W1288
556,Burglary,Kimbark between 55th & 56th,10/24/10 9:04 AM,10/24/10 2:00 AM to 6:00 AM,"Unknown person(s) broke glass in rear door to enter residence / Cash, computer, pager, and keys taken",Open,W1289
557,Telephone Harassment,Out of Area - 80th & Winchester,10/24/10 10:47AM,10/23/10 11:10 AM,Complainant received a harassing phone call that registered on caller ID as originating at U C,Open,W1290
558,Assault,63rd between Drexel & Ingleside,10/24/10 3:30 PM,10/24/10 3:30 PM,A male subject threatened a UCPD officer / Subject given verbal warning,Closed,W1292
559,Lost Property,5706 S. University (Reynolds Club),10/24/10 6:40 PM,10/24/10 3:30 PM to 6:00 PM,Woman reports loss of wallet while in Reynolds Club,Closed,W1291
560,Theft from Motor Vehicle,Dorchester between 50th & 51st,10/24/10 9:03 PM,10/23/10 to 10/24/10 8:00 AM to 9:30:PM,"Unknown person smashed front and rear passenger's side window of car parked on the street / Took digital camera, voice recorder, electrical keyboard",Open,W1293
561,Suspicious Activity,5841 S. Maryland (Lying-In Hospital),10/25/10 8:19 AM,10/21/10 2:00 PM,Suspicious letter received by staff member,Closed,W1294
562,Lost Property,Out of Area - 1150 S. Dearborn,10/25/10 10:59 PM,10/23/10 4:00 PM to 7:00 PM,Complainant reported losing UC ID card and case,Closed,W1295
563,Theft,830 E. 55th St. (Stagg Field),10/25/10 11:03 AM,10/25/10 11:00 AM,"Two unknown males took unattended backpack and fled while complainant was running on track / Backpack recovered, wallet missing",Open,W1296
564,Injured Person,5758 S. Maryland (DCAM),10/25/10 12:05 PM,10/25/10 11:30 AM,"Woman tripped and fell in lobby, complaining of pain in right chest area / Treated at ER",Closed,W1297
565,Theft,924 E. 57th St. (BSLC),10/25/10 3:09 PM,10/25/10 8:30 AM to 10:20 AM,Secured bicycle taken from bike rack,Open,W1298
566,Theft,5550 S. University (Crown Field House),10/25/10 5:43 PM,10/25/10 3:30 PM to 5:40 PM,Laptop computer taken from unsecured gym locker,Open,W1299
567,Miscellaneous,1365 E. 60th St. (Orthogenic School),10/25/10 9:12 PM,10/25/10 9:12 PM,Sick person transported to hospital by CFD EMS,Closed,W1300
568,Burglary,54th between Woodlawn & Kimbark,10/26/10 4:42 AM,10/26/10 4:42 AM,Resident found unknown male standing in his living room after entering home via unlocked rear door / Suspect fled and arrested by UCPD / Held for psychiatric evaluation,Arrest,W1301
569,Information,University between 56th & 57th,10/26/10 9:02 AM,Unknown,Copper downspouts missing from building / Possibly removed in May 2010,Closed,W1302
570,Found Property,56th between Harper & Stony Island,10/26/10 11:11 AM,10/26/10 11:11 AM,Change purse containing ID found on the sidewalk / To be returned to owner,Closed,W1303
571,Fire Alarm,1155 E. 60th St. (1155 Bldg.),10/26/10 1:31 PM,10/26/10 1:31 PM,Workers created dust that triggered fire alarm / CFD responded,Closed,W1305
572,Lost Property,55th & Hyde Park,10/26/10 1:46 PM,10/26/10 8:40 AM to 1:51 PM,Complainant lost wallet - possibly while on CTA bus,Closed,W1304
573,Telephone Harassment,5815 S. Maryland (Mitchell Hospital),10/26/10 2:14 PM,10/26/10 8:20 AM,Patient received harassing phone calls,Open,W1307
574,Injured Person,5721 S. Maryland (Comer Hospital),10/26/10 3:05 PM,10/26/10 3:00 PM,Child caught hand in revolving door / Medical treatment declined,Closed,W1306
575,Theft,5550 S. University (Crown Field House),10/26/10 4:33 PM,10/26/10 4:30 PM,Three suspects distracted staff member - grabbed i-Phone from desk and fled the building,Open,W1308
576,Fire / Property Damage,5727 S. University (Math Building),10/26/10 6:06 PM,10/26/10 6:06 PM,Smoke and flames observed coming from building / CFD responded and extinguished fire / Cause under investigation,Closed,W1311
577,Injured Person,Ellis at 56th,10/26/10 6:35 PM,10/26/10 6:35 PM,Woman tripped and fell on curb on public way striking her face on the pavement / CFD transported to ER for treatment,Closed,W1309
578,Battery,Drexel at 60th,10/26/10 6:54 PM,10/26/10 6:52 PM,Two male subjects struck man in the face with fists for no apparent reason as he walked on the sidewalk,Open,W1310
579,Lost Property,Hyde Park at Woodlawn,10/26/10 9:07 PM,10/26/10 8:55 PM,Woman left her purse in the rear seat of a taxi,Closed,W1312
580,Warrant Arrest,Greenwood at 63rd,10/27/10 12:37 AM,10/27/10 12:37 AM,UCPD officers arrested man wanted on a warrant from an outside jurisdiction,Arrest,W1313
581,VOID,VOID,VOID,VOID,VOID,VOID,W1314
582,Theft,1101 E. 58th St. (Rosenwald),10/27/10 4:01 PM,10/4/10 12:20 PM to 3:00 PM,Unknown person took secured bicycle from bike rack,Open,W1315
583,Lost Property,1100 E. 57th St. (Regenstein Library),10/27/10 4:52 PM,10/27/10 3:30 PM to 4:00 PM,Woman lost her i-Pod in washroom,Closed,W1316
584,Burglary,54th between Kimbark & Kenwood,10/27/10 8:31 PM,10/27/10 9:15 AM to 7:55 PM,Person(s) unknown gained entry to apartment via unknown means / Took laptop computer and wallet,Open,W1318
585,Theft from Motor Vehicle,1545 E. 60th St. (Parking Lot),10/27/10 4:51 PM,10/26/10 7:30 AM to 3:30 PM,Unknown person took four hub caps from vehicle,Open,W1317
586,Theft,5758 S. Maryland (DCAM),10/28/10 10:14 AM,10/27/10 12:40 PM to 1:00 PM,Wallet taken from unattended bag left in unsecured office / Subsequent unauthorized use of credit cards reported,Open,W1319
587,Theft,1100 E. 57th St. (Regenstein Library),10/28/10 2:26 PM,10/28/10 12:00 PM to 2:00 PM,Unknown person took secured bicycle from bike rack,Open,W1320
588,Theft,55th between Ellis & Greenwood,10/28/10 2:33 PM,10/28/10 1:30 PM to 2:30 PM,Woman's clutch purse taken from coat hanging on booth as complainant dined in restaurant / Subsequent unauthorized use of credit card reported,Open,W1321
589,Criminal Damage to Vehicle,Drexel at 43rd,10/28/10 7:13 PM,10/27/10 to 10/28/10 9:15 PM to 8:00 AM,Complainant reported unknown person used unknown implement to scratch car parked on the street,Open,W1322
590,Burglary,Ellis between 54th & 55th,10/28/10 8:03 PM,10/28/10 6:45 PM to 7:45 PM,"Unknown person pried rear door to enter residence / Took laptop computer, DVD player and coins",Open,W1323
591,Lost Property,60th at Ellis,10/29/10 9:52 AM,10/27/10 9:30 AM,Complainant believes her wallet fell from a bag while she was on a CTA bus,Closed,W1325
592,Criminal Damage to Vehicle,Kimbark between 53rd & 54th,10/29/10 11:49 AM,10/29/10 12:30 AM to 11:45 PM,Unknown person smashed driver's side window of car parked on the street,Open,W1326
593,Injured Person,6000 S. Drexel (Wells Parking Lot),10/29/10 12:31 PM,10/29/10 12:20 PM,Woman walking in parking lot fell striking her face on pavement / Transported to ER by CFD EMS,Closed,W1327
594,Criminal Damage to Property,University between 54th & 55th,10/29/10 1:39 PM,10/29/10 1:30 PM,Resident observed unknown male cut the screen on the rear window of residence / Suspect fled,Open,W1328
595,Criminal Damage to Vehicle,Cornell at 50th,10/29/10 4:09 PM,10/26/10 to 10/27/10 2:30 PM to 5:00 PM,Unknown person smashed rear window of car parked on the street,Open,W1329
596,Fire Alarm,1365 E. 60th St. (Orthogenic School),10/29/10 7:33 PM,10/29/10 7:33 PM,Alarm malfunction / CFD responded,Closed,W1330
597,Theft,5721 S. Maryland (Comer Hospital),10/29/10 8:03 PM,10/29/10 6:40 PM to 7:15 PM,i-phone taken from pocket of unattended coat in unsecured office,Open,W1331
598,Burglary,Kimbark between 57th & 58th,10/29/10 8:11 PM,10/29/10 6:00 PM to 6:45 PM,Unknown person gained entry to residence via unlocked kitchen window / Took two laptop computers,Open,W1332
599,VOID,VOID,VOID,VOID,Number issued in error,VOID,W1333
600,Theft,57th between Blackstone & Harper,10/30/10 11:15 AM,10/30/10 11:10 AM,Woman took cash from unattended wallet placed on store counter / UCPD detained suspect / Cash returned and victim declined to prosecute,Closed,W1334
601,Theft,821 E. 55th St. (Stagg Field),10/30/10 4:10 PM,10/30/10 12:00 PM to 3:00 PM,Unknown person took unattended book bag,Open,W1335
602,Theft,1100 E. 57th St. (Regenstein Library),10/30/10 8:52 PM,10/30/10 3:00 PM to 9:00 PM,Unknown person cut U-lock and took bicycle from bike rack,Open,W1336
603,Sick Person,University at 51st,10/31/10 3:05 AM,10/31/10 3:00 AM,Sick person transported to ER by a friend,Closed,W1337
604,Injured Person,921 E. 55th St. (Stagg Field),10/31/10 1:02 PM,10/31/10 1:02 PM,Woman injured her right leg while playing soccer / Transported to ER by CFD EMS,Closed,W1339
605,Theft,Ingleside between 54th & 55th,10/31/10 1:31 PM,10/30/10 to 10/31/10 11:00 PM to 12:30 AM,Unattended purse taken while complainant was attending a party at a residence,Open,W1338
606,Warrant Arrest,Blackstone at 59th,10/31/10 8:11 PM,10/31/10 8:11 PM,UCPD officers arrested a male wanted on a warrant,Arrest,W1340
607,Theft,6031 S. Ellis (South Campus Residence Hall),10/31/10 11:23 PM,10/31/10 6:00 PM to 7:00 PM,Unknown person took unattended laptop computer from unsecured lounge area,Open,W1341
608,Lost Property,Dorchester between 49th & 50th,11/1/10 9:37 AM,10/31/10 12:00 PM to 8:00 PM,Female black Labrador/mix breed missing from rear yard of residence,Closed,W1342
609,Theft,1442 E. 59th St. (Breckenridge House),11/1/10 10:58 AM,10/31/10 12:00 AM to 2:30 AM,Unknown person took secured bike from bike rack,Open,W1343
610,Theft,5815 S. Maryland (Mitchell Hospital),11/1/10 11:16 AM,10/28/10 to 10/31/10 11:00 PM to 5:15 PM,Patient reports debit/credit card taken from a purse in her room / Subsequent unauthorized use of card reported,Open,W1344
611,Theft,1100 E. 57th St (Regenstein Library),11/1/10 1:55 PM,10/29/10 7:00 PM to 7:20 PM,Unknown person took unattended ID card holder from table in library,Open,W1345
612,Theft,57th at Harper,11/1/10 2:09 PM,11/1/10 2:09 PM,Male subject grabbed i-phone from man as he was walking and talking on the phone / Suspect fled with phone,Open,W1346
613,Theft,5815 S. Maryland (Mitchell Hospital),11/1/10 4:43 PM,10/30/10 to 11/1/10 5:00 PM to 8:00 AM,Unattended phone taken from reception desk,Open,W1348
614,Theft,901 E. 58th St. (UCMC),11/1/10 4:51 PM,10/30/10 to 11/1/10 4:00 PM to 7:00 AM,Patient's necklace and social security card taken while she was treated in ER,Open,W1347
615,Theft,5815 S. Maryland (Mitchell Hospital),11/2/10 1:30 PM,11/1/10 9:30 AM to 4:00 PM,Patient reported cash taken from pants hanging in closet in his room,Open,W1349
616,Fire Alarm,1155 E. 57th St. (Quadrangle Club),11/3/10 7:33 AM,11/3/10 7:32 AM,Smoke from cooking triggered alarm / No fire / No damage / CFD responded,Closed,W1350
617,Miscellaneous,Midway near Ellis,11/3/10 8:45 AM,11/3/10 6:30 AM,"Woman reported a man used vile, obnoxious language when responding to a question",Closed,W1351
